Data;Papel moeda em circulação;Reservas bancárias;Base monetária restrita;Indicadores da produção;Índice de Commodities
dez/18;257.267.987;41.148.112;298.416.099;78;193,73
jan/19;247.412.227;41.415.183;288.827.411;80,7;186,91
fev/19;240.140.027;38.667.453;278.807.479;79,1;187,38
mar/19;238.810.045;38.792.420;277.602.465;81;192,19
abr/19;237.137.593;38.040.618;275.178.211;83,3;195,13
mai/19;233.660.523;38.183.362;271.843.885;91;191,27
jun/19;236.244.219;37.756.858;274.001.077;85,8;181,86
jul/19;236.020.189;37.446.360;273.466.549;93,4;180,49
ago/19;236.618.073;38.900.329;275.518.402;96,2;180,99
set/19;243.839.542;37.444.855;281.284.398;91,8;190,45
out/19;245.578.740;38.146.620;283.725.360;97;194,65
nov/19;250.194.150;39.056.638;289.250.788;88;204,27
dez/19;273.046.409;41.984.670;315.031.079;76,9;205,54
jan/20;264.753.714;45.041.151;309.794.865;80;207,56
fev/20;260.581.585;41.940.154;302.521.740;78,9;206,62
mar/20;256.976.838;42.207.139;299.183.977;77,9;197,72
abr/20;273.417.019;41.934.116;315.351.135;60,3;200,81
mai/20;308.570.782;46.398.043;354.968.825;71,2;225,52
jun/20;327.697.904;46.896.296;374.594.200;78,4;214,57
jul/20;341.356.042;50.616.444;391.972.486;91;229,77
ago/20;349.490.775;50.815.671;400.306.446;93,9;251,34
set/20;353.940.917;53.600.632;407.541.550;95,4;252,69
out/20;356.633.606;55.449.649;412.083.255;97,3;266,69
nov/20;358.205.868;57.278.769;415.484.637;90,2;267
dez/20;366.474.720;61.876.432;428.351.152;83,3;263,38
jan/21;367.987.393;65.452.926;433.440.319;81,9;291,18
fev/21;357.558.576;60.827.567;418.386.143;79,1;311,65
mar/21;346.914.019;60.153.464;407.067.483;86,1;328,22
abr/21;341.784.436;60.271.713;402.056.149;81,3;332,2
mai/21;339.264.428;61.228.406;400.492.834;88,4;335,87
jun/21;339.539.712;63.374.752;402.914.464;87,9;323,94
jul/21;343.717.311;66.102.481;409.819.792;92,3;340,69
ago/21;343.093.591;69.595.736;412.689.327;93,4;352,27
set/21;339.173.505;70.299.091;409.472.596;91,5;360,47
out/21;334.297.469;69.295.502;403.592.971;89,7;401,15
nov/21;330.908.399;68.555.222;399.463.622;86,3;399,81
dez/21;336.170.515;70.827.427;406.997.942;79,2;396,96
jan/22;334.082.283;74.603.544;408.685.827;75,9;408,84
fev/22;327.696.582;66.314.197;394.010.779;75,9;405,63
mar/22;323.793.178;67.262.094;391.055.272;84,5;423,39
abr/22;321.185.179;66.779.791;387.964.969;80,9;418,63
mai/22;325.068.233;67.112.485;392.180.718;88,8;432,11
jun/22;330.460.453;66.123.445;396.583.898;87,5;428,02
jul/22;327.884.535;67.450.665;395.335.201;92;417,62
ago/22;324.059.451;67.283.041;391.342.492;96;414,63
set/22;321.286.351;68.854.441;390.140.792;91,8;408,91
out/22;-;-;-;-;394,52
